Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/properties/khm-internetfreigabestufe,Khm Internetfreigabestufe,,
Property,http://arkumu.org/properties/klassifizierendes-schlagwort,Klassifizierendes Schlagwort,,
Property,http://arkumu.org/properties/kompilation,Kompilation,Kompilation,
Property,http://arkumu.org/properties/kompilations-reihennummer,Kompilations Reihennummer,Kompilations-Reihennummer,
Property,http://arkumu.org/properties/kompilationstitel,Kompilationstitel,Kompilationstitel,
Property,http://arkumu.org/properties/kurzbeschreibung-deutsch,Kurzbeschreibung Deutsch,,
Property,http://arkumu.org/properties/kurzbeschreibung-englisch,Kurzbeschreibung Englisch,,
Property,http://arkumu.org/properties/label-handelsmarke,Label Handelsmarke,,
Property,http://arkumu.org/properties/lccn-id,Lccn Id,PE_Normdatum_LCCN,
Property,http://arkumu.org/properties/letzte-datensatzmodifikation-beim-einlieferer,Letzte Datensatzmodifikation Beim Einlieferer,"SQL_Pr_AenderungsTS,__SQL_TS_LastModified,SQL_PE_AenderungsTS,SQL_AenderungsTS,Projekte_SQL_Pr_AenderungsTS,SQL_Ev_AenderungsTS",
Property,http://arkumu.org/properties/letzte-projektmodifikation-beim-einlieferer,Letzte Projektmodifikation Beim Einlieferer,,(benutze überall Letzte Datensatzmodifikation Beim Einlieferer) 
Property,http://arkumu.org/properties/lido-terminologie-id,Lido Terminologie Id,,
Property,http://arkumu.org/properties/lizenzstatus,Lizenzstatus,_arkumu_Lizenzstatus,
Property,http://arkumu.org/properties/masse,Masse,Projekte_Masse_Umfang_Dimension,
Property,http://arkumu.org/properties/materialschlagwort,Materialschlagwort,Projekte_Material_QIDs_calc,
Property,http://arkumu.org/properties/materialschlagwort-id,Materialschlagwort Id,,
Property,http://arkumu.org/properties/medientyp,Medientyp,Dateityp_calc,
Property,http://arkumu.org/properties/nachgestellter-titel,Nachgestellter Titel,nachgestellterTitel,
Property,http://arkumu.org/properties/neuer-lizenzvertrag-digi-kunst-formular,Neuer Lizenzvertrag Digi Kunst Formular,,
Property,http://arkumu.org/properties/nicht-oeffentlicher-name,Nicht Oeffentlicher Name,nicht_öffentlicher_Name,
Property,http://arkumu.org/properties/nicht-oeffentlicher-name-begruendung,Nicht Oeffentlicher Name Begruendung,,
Property,http://arkumu.org/properties/normdatei,Normdatei,,
Property,http://arkumu.org/properties/nummernart-id,Nummernart Id,,
Property,http://arkumu.org/properties/objekttyp,Objekttyp,"Bildart,TR_Type_Kurz",
Property,http://arkumu.org/properties/orcid,Orcid,PE_Normdatum_ORCID,
Property,http://arkumu.org/properties/organisationseinheit,Organisationseinheit,Fächergruppe,
Property,http://arkumu.org/properties/organisationseinheit-id,Organisationseinheit Id,,
Property,http://arkumu.org/properties/originalsprache,Originalsprache,Sprache der Originalfassung,
Property,http://arkumu.org/properties/ort-id,Ort Id,,
