Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/data/properties/informationstraeger-produkt-id-id,Informationstraeger Produkt Id Id,,
Property,http://arkumu.org/data/properties/informationstraegereigenschaft-id,Informationstraegereigenschaft Id,,
Property,http://arkumu.org/data/properties/informationstraegertyp,Informationstraegertyp,Medienformat,
Property,http://arkumu.org/data/properties/informationstraegertyp-id,Informationstraegertyp Id,,
Property,http://arkumu.org/data/properties/inhaltswarnung,Inhaltswarnung,,
Property,http://arkumu.org/data/properties/interner-kommentar,Interner Kommentar,Bemerkungen,
Property,http://arkumu.org/data/properties/iso-639-1-code,Iso 639 1 Code,,
Property,http://arkumu.org/data/properties/iso-639-2b-code,Iso 639 2B Code,,
Property,http://arkumu.org/data/properties/iso-639-2t-code,Iso 639 2T Code,,
Property,http://arkumu.org/data/properties/ist-urheberin,Ist Urheberin,ist_Urheberin,
Property,http://arkumu.org/data/properties/khm-internetfreigabestufe,Khm Internetfreigabestufe,,
Property,http://arkumu.org/data/properties/klassifizierendes-schlagwort,Klassifizierendes Schlagwort,,
Property,http://arkumu.org/data/properties/kompilation,Kompilation,Kompilation,
Property,http://arkumu.org/data/properties/kompilations-reihennummer,Kompilations Reihennummer,Kompilations-Reihennummer,
Property,http://arkumu.org/data/properties/kompilationstitel,Kompilationstitel,Kompilationstitel,
Property,http://arkumu.org/data/properties/kurzbeschreibung-deutsch,Kurzbeschreibung Deutsch,,
Property,http://arkumu.org/data/properties/kurzbeschreibung-englisch,Kurzbeschreibung Englisch,,
Property,http://arkumu.org/data/properties/label-handelsmarke,Label Handelsmarke,,
Property,http://arkumu.org/data/properties/lccn-id,Lccn Id,PE_Normdatum_LCCN,
Property,http://arkumu.org/data/properties/letzte-datensatzmodifikation-beim-einlieferer,Letzte Datensatzmodifikation Beim Einlieferer,"SQL_Pr_AenderungsTS,__SQL_TS_LastModified,SQL_PE_AenderungsTS,SQL_AenderungsTS,Projekte_SQL_Pr_AenderungsTS,SQL_Ev_AenderungsTS",
Property,http://arkumu.org/data/properties/letzte-projektmodifikation-beim-einlieferer,Letzte Projektmodifikation Beim Einlieferer,,(benutze überall Letzte Datensatzmodifikation Beim Einlieferer) 
Property,http://arkumu.org/data/properties/lido-terminologie-id,Lido Terminologie Id,,
Property,http://arkumu.org/data/properties/lizenzstatus,Lizenzstatus,_arkumu_Lizenzstatus,
Property,http://arkumu.org/data/properties/masse,Masse,Projekte_Masse_Umfang_Dimension,
Property,http://arkumu.org/data/properties/materialschlagwort,Materialschlagwort,Projekte_Material_QIDs_calc,
Property,http://arkumu.org/data/properties/materialschlagwort-id,Materialschlagwort Id,,
Property,http://arkumu.org/data/properties/medientyp,Medientyp,Dateityp_calc,
Property,http://arkumu.org/data/properties/nachgestellter-titel,Nachgestellter Titel,nachgestellterTitel,
Property,http://arkumu.org/data/properties/neuer-lizenzvertrag-digi-kunst-formular,Neuer Lizenzvertrag Digi Kunst Formular,,
