Type,Target,Label,Name,Anmerkung HMT
Property,http://arkumu.org/data/properties/waehlt-ist-urheber-in-automatisch-aus,Waehlt Ist Urheber In Automatisch Aus,,
Property,http://arkumu.org/data/properties/webseite-der-akteurin,Webseite Der Akteurin,,
Property,http://arkumu.org/data/properties/weiteres-rechtsdokument,Weiteres Rechtsdokument,,
Property,http://arkumu.org/data/properties/werkverzeichnis-nummer,Werkverzeichnis Nummer,,
Property,http://arkumu.org/data/properties/wert,Wert,,
Property,http://arkumu.org/data/properties/wesentliche-eigenschaften-deutsch,Wesentliche Eigenschaften Deutsch,,
Property,http://arkumu.org/data/properties/wesentliche-eigenschaften-englisch,Wesentliche Eigenschaften Englisch,,
Property,http://arkumu.org/data/properties/wikidata-id,Wikidata Id,"EreignisOrt_Wikidata_ID,Wikidata,",
Property,http://arkumu.org/data/properties/ereignisort,Ereignisort,EreignisOrt_Wikidata_ID,
Property,http://arkumu.org/data/properties/wird-im-loop-abgespielt,Wird Im Loop Abgespielt,,
Property,http://arkumu.org/data/properties/wirkungsbeginn,Wirkungsbeginn,,
Property,http://arkumu.org/data/properties/wirkungsende,Wirkungsende,,
Property,http://arkumu.org/data/properties/wirkungsort,Wirkungsort,,
Property,http://arkumu.org/data/properties/zugehoeriges-rechtestatement,Zugehoeriges Rechtestatement,,
Property,http://arkumu.org/data/properties/pruefsumme-sha256,Prüfsumme beim Einlieferer,Pruefsumme_SHA256,
,,Prüfsumme beim Einlieferer,Pruefsumme_SHA256,
,,Instrumentierung,Instrumentierung,
,,Projekteigenschaft_Sprache,Projekteigenschaft_Sprache,
